round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
20,0.9114346504211426,0.5717131495475769,0.757007896900177,0.6403712034225464,relu,32,0.5,20,8,Adam,6
20,0.7484991550445557,0.6718127727508545,0.7247403860092163,0.6635730862617493,relu,32,0.5,20,8,RMSprop,2
20,0.8109114766120911,0.6220119595527649,0.6844226717948914,0.7285382747650146,relu,32,0.5,20,8,RMSprop,4
20,0.7852768898010254,0.6419322490692139,0.6859593391418457,0.7343387603759766,relu,32,0.5,20,8,RMSprop,6
20,0.9175695776939392,0.5303784608840942,0.801750659942627,0.642691433429718,relu,32,0.5,20,6,Adam,2
20,0.9310182332992554,0.5438246726989746,0.7715570330619812,0.6566125154495239,relu,32,0.5,20,6,Adam,4
20,0.907134473323822,0.5602589845657349,0.7952499389648438,0.6322506070137024,relu,32,0.5,20,6,Adam,6
20,0.8370034694671631,0.6010956168174744,0.7117607593536377,0.7053364515304565,relu,32,0.5,20,6,RMSprop,2
20,0.7535645961761475,0.6772908568382263,0.6883971095085144,0.6740139126777649,relu,32,0.5,20,6,RMSprop,4
20,0.8184849619865417,0.6180278658866882,0.7514892220497131,0.6612529158592224,relu,32,0.5,20,6,RMSprop,6
60,0.8169611096382141,0.6748008131980896,0.9161666631698608,0.6102088093757629,relu,32,0.5,60,10,Adam,2
60,0.7521121501922607,0.6533864736557007,1.0017834901809692,0.5881670713424683,relu,32,0.5,60,10,Adam,4
60,0.8570573925971985,0.5806772708892822,0.8586576581001282,0.6728538274765015,relu,32,0.5,60,10,Adam,6
60,0.527732253074646,0.782868504524231,0.89980548620224,0.6635730862617493,relu,32,0.5,60,10,RMSprop,2
60,0.5633792877197266,0.7634462118148804,0.7316706776618958,0.7378190159797668,relu,32,0.5,60,10,RMSprop,4
60,0.5793176889419556,0.7763944268226624,0.632628321647644,0.7424594163894653,relu,32,0.5,60,10,RMSprop,6
60,0.8803015351295471,0.5507968068122864,0.8553358316421509,0.55800461769104,relu,32,0.5,60,8,Adam,2
60,0.7703670859336853,0.6718127727508545,0.7821357846260071,0.6322506070137024,relu,32,0.5,60,8,Adam,4
60,0.7087551355361938,0.6792828440666199,0.91013103723526,0.6531322598457336,relu,32,0.5,60,8,Adam,6
60,0.5081202387809753,0.7823705077171326,0.6827608346939087,0.7378190159797668,relu,32,0.5,60,8,RMSprop,2
60,0.5497365593910217,0.7768924236297607,0.7055051326751709,0.7436195015907288,relu,32,0.5,60,8,RMSprop,4
60,0.5342623591423035,0.7823705077171326,0.6225517392158508,0.7807424664497375,relu,32,0.5,60,8,RMSprop,6
60,0.9050535559654236,0.5532868504524231,0.7700420022010803,0.596287727355957,relu,32,0.5,60,6,Adam,2
60,1.0361689329147339,0.45119521021842957,0.9009023308753967,0.6102088093757629,relu,32,0.5,60,6,Adam,4
60,0.8393957614898682,0.6065737009048462,0.8651971817016602,0.6090487241744995,relu,32,0.5,60,6,Adam,6
60,0.6289589405059814,0.7275896668434143,0.7837607264518738,0.6798143982887268,relu,32,0.5,60,6,RMSprop,2
60,0.6043230295181274,0.7405378222465515,0.7995992302894592,0.6740139126777649,relu,32,0.5,60,6,RMSprop,4
60,0.49700063467025757,0.7913346886634827,0.8622979521751404,0.7030162215232849,relu,32,0.5,60,6,RMSprop,6
100,0.8342049717903137,0.5866534113883972,0.9184297919273376,0.5904872417449951,relu,32,0.5,100,10,Adam,2
100,0.9106746912002563,0.5219123363494873,0.839618444442749,0.613689124584198,relu,32,0.5,100,10,Adam,4
100,0.9324567317962646,0.5219123363494873,1.0935509204864502,0.5823665857315063,relu,32,0.5,100,10,Adam,6
100,0.4823688864707947,0.8082669377326965,1.0377229452133179,0.6774942278862,relu,32,0.5,100,10,RMSprop,2
100,0.5596305131912231,0.7644422054290771,0.7495490908622742,0.7366589307785034,relu,32,0.5,100,10,RMSprop,4
100,0.5650832056999207,0.7773904204368591,1.3596711158752441,0.6183294653892517,relu,32,0.5,100,10,RMSprop,6
100,0.8795527219772339,0.5627490282058716,0.9763063788414001,0.6287702918052673,relu,32,0.5,100,8,Adam,2
100,1.3554269075393677,0.280876487493515,1.3344961404800415,0.2958236634731293,relu,32,0.5,100,8,Adam,4
100,0.8290913105010986,0.6100597381591797,1.0264849662780762,0.6113688945770264,relu,32,0.5,100,8,Adam,6
100,0.4708232283592224,0.8097609281539917,0.9225510358810425,0.7389791011810303,relu,32,0.5,100,8,RMSprop,2
100,0.5523130297660828,0.7649402618408203,0.8829668164253235,0.7494199275970459,relu,32,0.5,100,8,RMSprop,4
100,0.6038957238197327,0.7719123363494873,0.8690592646598816,0.6693735718727112,relu,32,0.5,100,8,RMSprop,6
100,1.3578647375106812,0.2813745141029358,1.3349133729934692,0.2969837486743927,relu,32,0.5,100,6,Adam,2
100,1.1662617921829224,0.41683265566825867,0.9781204462051392,0.5870069861412048,relu,32,0.5,100,6,Adam,4
100,1.029893159866333,0.4845617413520813,1.0259273052215576,0.5498839616775513,relu,32,0.5,100,6,Adam,6
100,0.4780157506465912,0.800298810005188,1.091888666152954,0.6972157955169678,relu,32,0.5,100,6,RMSprop,2
100,0.47425734996795654,0.81324702501297,0.7042381763458252,0.7459396719932556,relu,32,0.5,100,6,RMSprop,4
100,0.5618701577186584,0.791832685470581,1.1072336435317993,0.7343387603759766,relu,32,0.5,100,6,RMSprop,6
20,0.4292827248573303,0.8227091431617737,0.8006207346916199,0.7366589307785034,relu,64,0.3,20,10,Adam,2
20,0.4595164656639099,0.8162350654602051,0.6052758693695068,0.7621809840202332,relu,64,0.3,20,10,Adam,4
20,0.4729675352573395,0.8067728877067566,0.588225245475769,0.7633410692214966,relu,64,0.3,20,10,Adam,6
20,0.4995746612548828,0.7898406386375427,1.5155489444732666,0.5730858445167542,relu,64,0.3,20,10,RMSprop,2
20,0.5110241770744324,0.7878485918045044,0.7039341330528259,0.7331786751747131,relu,64,0.3,20,10,RMSprop,4
20,0.5451277494430542,0.7729083895683289,0.5852221250534058,0.781902551651001,relu,64,0.3,20,10,RMSprop,6
20,0.5144078731536865,0.7858565449714661,0.5583199858665466,0.7923433780670166,relu,64,0.3,20,8,Adam,2
20,0.40250882506370544,0.8276892304420471,0.5900220274925232,0.7853828072547913,relu,64,0.3,20,8,Adam,4
20,0.5349989533424377,0.7739043831825256,0.7337021231651306,0.6914153099060059,relu,64,0.3,20,8,Adam,6
20,0.5575633645057678,0.7669322490692139,0.5830310583114624,0.7749419808387756,relu,64,0.3,20,8,RMSprop,2
20,0.588219165802002,0.7519920468330383,0.6405763626098633,0.7378190159797668,relu,64,0.3,20,8,RMSprop,4
20,0.5038050413131714,0.7978087663650513,0.7695985436439514,0.6972157955169678,relu,64,0.3,20,8,RMSprop,6
20,0.48728013038635254,0.7853585481643677,0.6670894622802734,0.7679814100265503,relu,64,0.3,20,6,Adam,2
20,0.5985487699508667,0.7539840340614319,0.632414698600769,0.7633410692214966,relu,64,0.3,20,6,Adam,4
20,0.4614632725715637,0.804780900478363,0.6322782039642334,0.7877030372619629,relu,64,0.3,20,6,Adam,6
20,0.5593674182891846,0.7584661245346069,0.8017371892929077,0.7076566219329834,relu,64,0.3,20,6,RMSprop,2
20,0.5445625185966492,0.7768924236297607,0.5911964774131775,0.7691415548324585,relu,64,0.3,20,6,RMSprop,4
20,0.5596889853477478,0.7659362554550171,0.6273345351219177,0.7389791011810303,relu,64,0.3,20,6,RMSprop,6
60,0.42400193214416504,0.8107569813728333,0.6429117918014526,0.7505800724029541,relu,64,0.3,60,10,Adam,2
60,0.24341122806072235,0.8974103331565857,0.74515300989151,0.7981438636779785,relu,64,0.3,60,10,Adam,4
60,0.2705225646495819,0.9063745141029358,0.7265293002128601,0.7865429520606995,relu,64,0.3,60,10,Adam,6
60,0.2166776955127716,0.9163346886634827,0.5967361927032471,0.8329466581344604,relu,64,0.3,60,10,RMSprop,2
60,0.1900961697101593,0.929780900478363,1.0069650411605835,0.7807424664497375,relu,64,0.3,60,10,RMSprop,4
60,0.22343572974205017,0.9128485918045044,0.6985620856285095,0.828306257724762,relu,64,0.3,60,10,RMSprop,6
60,0.28202804923057556,0.9028884172439575,0.6947281956672668,0.7761020660400391,relu,64,0.3,60,8,Adam,2
